session_id,stage_awareness,stage_consideration,stage_quote,stage_purchase,stage_onboarding,channel,product
1,1,0,0,0,0,organic_search,term
2,1,0,0,0,0,paid_search,term
3,1,1,1,0,0,embedded_partner,motor
4,1,1,0,0,0,organic_search,motor
5,1,0,0,0,0,aggregator,motor
6,1,0,0,0,0,referral,motor
7,1,1,0,0,0,organic_search,motor
8,1,0,0,0,0,organic_search,travel
9,1,1,0,0,0,aggregator,motor
10,1,1,0,0,0,paid_search,motor
11,1,0,0,0,0,paid_search,term
12,1,1,0,0,0,embedded_partner,health
13,1,0,0,0,0,social_media,motor
14,1,0,0,0,0,embedded_partner,motor
15,1,0,0,0,0,paid_search,travel
16,1,1,1,0,0,aggregator,motor
17,1,0,0,0,0,social_media,health
18,1,1,1,0,0,aggregator,term
19,1,1,1,0,0,embedded_partner,motor
20,1,0,0,0,0,social_media,term
21,1,1,0,0,0,organic_search,motor
22,1,0,0,0,0,paid_search,motor
23,1,1,1,1,1,referral,motor
24,1,0,0,0,0,embedded_partner,travel
25,1,1,0,0,0,organic_search,motor
26,1,1,0,0,0,aggregator,motor
27,1,0,0,0,0,paid_search,travel
28,1,0,0,0,0,aggregator,motor
29,1,1,1,0,0,aggregator,travel
30,1,1,0,0,0,organic_search,term
31,1,0,0,0,0,organic_search,health
32,1,1,0,0,0,referral,term
33,1,1,0,0,0,paid_search,term
34,1,0,0,0,0,paid_search,motor
35,1,0,0,0,0,paid_search,travel
36,1,0,0,0,0,aggregator,travel
37,1,0,0,0,0,aggregator,travel
38,1,1,1,1,1,social_media,health
39,1,0,0,0,0,aggregator,health
40,1,1,0,0,0,organic_search,health
41,1,0,0,0,0,paid_search,motor
42,1,1,1,0,0,embedded_partner,health
43,1,1,0,0,0,organic_search,health
44,1,1,0,0,0,paid_search,term
45,1,1,0,0,0,embedded_partner,motor
46,1,1,1,0,0,embedded_partner,health
47,1,0,0,0,0,paid_search,health
48,1,0,0,0,0,paid_search,health
49,1,1,0,0,0,organic_search,travel
50,1,0,0,0,0,aggregator,term
51,1,0,0,0,0,aggregator,motor
52,1,1,0,0,0,aggregator,motor
53,1,1,0,0,0,organic_search,term
54,1,0,0,0,0,organic_search,health
55,1,1,1,1,1,organic_search,term
56,1,0,0,0,0,organic_search,motor
57,1,1,1,1,1,paid_search,motor
58,1,0,0,0,0,social_media,motor
59,1,1,0,0,0,aggregator,term
60,1,0,0,0,0,aggregator,travel
61,1,0,0,0,0,organic_search,travel
62,1,0,0,0,0,social_media,health
63,1,0,0,0,0,social_media,term
64,1,0,0,0,0,organic_search,motor
65,1,1,0,0,0,social_media,health
66,1,0,0,0,0,social_media,travel
67,1,0,0,0,0,social_media,motor
68,1,0,0,0,0,paid_search,travel
69,1,0,0,0,0,aggregator,motor
70,1,0,0,0,0,paid_search,motor
71,1,1,1,0,0,aggregator,health
